OA Code,Ward Name,LA Name,Region Name,QS605EW0017,QS605EW0001 (base),OA Percentage
E00008493,Woolwich Riverside,Greenwich,London,17,103,16.5000,
E00008529,Woolwich Riverside,Greenwich,London,12,116,10.3400,
E00007853,Blackheath Westcombe,Greenwich,London,14,161,8.7000,
E00176553,Peninsula,Greenwich,London,5,154,3.2500,
E00008184,Greenwich West,Greenwich,London,5,161,3.1100,
E00008130,Glyndon,Greenwich,London,16,154,10.3900,
E00008492,Woolwich Riverside,Greenwich,London,12,93,12.9000,
E00008427,Thamesmead Moorings,Greenwich,London,11,95,11.5800,
E00007869,Blackheath Westcombe,Greenwich,London,5,111,4.5000,
E00008486,Woolwich Common,Greenwich,London,11,156,7.0500,
E00176568,Woolwich Riverside,Greenwich,London,30,264,11.3600,
E00008894,Hoxton,Hackney,London,9,127,7.0900,
E00008905,Hoxton,Hackney,London,11,232,4.7400,
E00009170,Victoria,Hackney,London,13,152,8.5500,
E00008866,Hoxton,Hackney,London,11,134,8.2100,
E00176255,Haggerston,Hackney,London,3,92,3.2600,
E00007884,Blackheath Westcombe,Greenwich,London,2,195,1.0300,
E00008198,Kidbrooke with Hornfair,Greenwich,London,6,108,5.5600,
E00176233,De Beauvoir,Hackney,London,13,126,10.3200,
E00008739,De Beauvoir,Hackney,London,22,180,12.2200,
E00176500,Greenwich West,Greenwich,London,5,145,3.4500,
E00008498,Woolwich Riverside,Greenwich,London,20,156,12.8200,
E00176521,Woolwich Riverside,Greenwich,London,31,446,6.9500,
E00176490,Greenwich West,Greenwich,London,36,256,14.0600,
E00176504,Peninsula,Greenwich,London,7,171,4.0900,
E00176572,Glyndon,Greenwich,London,13,145,8.9700,
E00008158,Greenwich West,Greenwich,London,10,137,7.3000,
E00007875,Blackheath Westcombe,Greenwich,London,4,133,3.0100,
E00007877,Blackheath Westcombe,Greenwich,London,2,112,1.7900,
E00007922,Charlton,Greenwich,London,5,132,3.7900,
E00008189,Greenwich West,Greenwich,London,14,115,12.1700,
E00007912,Charlton,Greenwich,London,8,152,5.2600,
E00176485,Kidbrooke with Hornfair,Greenwich,London,10,103,9.7100,
E00008208,Kidbrooke with Hornfair,Greenwich,London,18,193,9.3300,
E00007889,Charlton,Greenwich,London,22,159,13.8400,
E00008519,Woolwich Riverside,Greenwich,London,8,106,7.5500,
E00008534,Woolwich Riverside,Greenwich,London,10,154,6.4900,
E00008231,Kidbrooke with Hornfair,Greenwich,London,7,155,4.5200,
E00007918,Charlton,Greenwich,London,13,130,10.0000,
E00008469,Woolwich Common,Greenwich,London,10,161,6.2100,
E00008458,Woolwich Common,Greenwich,London,8,137,5.8400,
E00007849,Blackheath Westcombe,Greenwich,London,3,128,2.3400,
E00008508,Woolwich Riverside,Greenwich,London,12,132,9.0900,
E00176595,Peninsula,Greenwich,London,7,148,4.7300,
E00007908,Charlton,Greenwich,London,15,206,7.2800,
E00008477,Woolwich Common,Greenwich,London,17,150,11.3300,
E00176551,Greenwich West,Greenwich,London,11,117,9.4000,
E00008192,Kidbrooke with Hornfair,Greenwich,London,15,169,8.8800,
E00008113,Glyndon,Greenwich,London,22,206,10.6800,
E00176561,Woolwich Common,Greenwich,London,33,207,15.9400,
E00008305,Peninsula,Greenwich,London,4,191,2.0900,
E00008384,Shooters Hill,Greenwich,London,4,137,2.9200,
E00008133,Glyndon,Greenwich,London,10,278,3.6000,
E00007897,Charlton,Greenwich,London,10,114,8.7700,
E00008284,Peninsula,Greenwich,London,19,146,13.0100,
E00008491,Woolwich Riverside,Greenwich,London,13,108,12.0400,
E00176487,Kidbrooke with Hornfair,Greenwich,London,8,102,7.8400,
E00008299,Peninsula,Greenwich,London,11,233,4.7200,
E00007866,Blackheath Westcombe,Greenwich,London,0,181,0.0000,
E00008362,Shooters Hill,Greenwich,London,9,144,6.2500,
E00008489,Woolwich Common,Greenwich,London,11,150,7.3300,
E00008313,Peninsula,Greenwich,London,22,205,10.7300,
E00007900,Charlton,Greenwich,London,18,188,9.5700,
E00008874,Hoxton,Hackney,London,25,284,8.8000,
E00176278,Haggerston,Hackney,London,11,240,4.5800,
E00008871,Hoxton,Hackney,London,17,204,8.3300,
E00009045,Queensbridge,Hackney,London,22,155,14.1900,
E00009153,Victoria,Hackney,London,4,119,3.3600,
E00008734,De Beauvoir,Hackney,London,6,99,6.0600,
E00008869,Hoxton,Hackney,London,20,141,14.1800,
E00009172,Victoria,Hackney,London,8,144,5.5600,
E00008861,Haggerston,Hackney,London,15,235,6.3800,
E00008899,Hoxton,Hackney,London,6,94,6.3800,
E00009076,Queensbridge,Hackney,London,34,364,9.3400,
E00009165,Victoria,Hackney,London,4,157,2.5500,
E00009070,Queensbridge,Hackney,London,10,91,10.9900,
E00009046,Queensbridge,Hackney,London,10,116,8.6200,
E00176234,De Beauvoir,Hackney,London,7,407,1.7200,
E00176261,Haggerston,Hackney,London,8,183,4.3700,
E00008901,Hoxton,Hackney,London,16,106,15.0900,
E00008888,Hoxton,Hackney,London,14,197,7.1100,
E00008868,Hoxton,Hackney,London,5,155,3.2300,
E00176244,Hoxton,Hackney,London,3,153,1.9600,
E00008745,De Beauvoir,Hackney,London,12,277,4.3300,
E00008830,Haggerston,Hackney,London,6,91,6.5900,
E00008735,De Beauvoir,Hackney,London,17,138,12.3200,
E00009171,Victoria,Hackney,London,5,137,3.6500,
E00008851,Haggerston,Hackney,London,9,110,8.1800,
E00008879,Hoxton,Hackney,London,16,289,5.5400,
E00008858,Haggerston,Hackney,London,14,124,11.2900,
E00008877,Hoxton,Hackney,London,17,141,12.0600,
E00008852,Haggerston,Hackney,London,9,242,3.7200,
E00009169,Victoria,Hackney,London,2,149,1.3400,
E00176276,Haggerston,Hackney,London,12,196,6.1200,
E00176281,Hoxton,Hackney,London,13,119,10.9200,
E00008748,De Beauvoir,Hackney,London,17,120,14.1700,
E00009155,Victoria,Hackney,London,9,163,5.5200,
E00176282,Hoxton,Hackney,London,10,203,4.9300,
E00008747,De Beauvoir,Hackney,London,10,106,9.4300,
E00176263,Hoxton,Hackney,London,5,104,4.8100,
E00008887,Hoxton,Hackney,London,8,116,6.9000,
E00009177,Victoria,Hackney,London,5,175,2.8600,
E00176240,De Beauvoir,Hackney,London,6,132,4.5500,
E00007852,Blackheath Westcombe,Greenwich,London,2,121,1.6500,
E00008476,Woolwich Common,Greenwich,London,25,154,16.2300,
E00176562,Woolwich Riverside,Greenwich,London,11,130,8.4600,
E00176554,Peninsula,Greenwich,London,11,160,6.8800,
E00176497,Greenwich West,Greenwich,London,9,109,8.2600,
E00176535,Greenwich West,Greenwich,London,30,173,17.3400,
E00008181,Greenwich West,Greenwich,London,10,159,6.2900,
E00007870,Blackheath Westcombe,Greenwich,London,4,129,3.1000,
E00176498,Greenwich West,Greenwich,London,14,140,10.0000,
E00008132,Glyndon,Greenwich,London,19,224,8.4800,
E00008464,Woolwich Common,Greenwich,London,20,182,10.9900,
E00008109,Glyndon,Greenwich,London,3,118,2.5400,
E00008188,Greenwich West,Greenwich,London,8,136,5.8800,
E00008121,Glyndon,Greenwich,London,10,159,6.2900,
E00008145,Glyndon,Greenwich,London,9,123,7.3200,
E00008135,Glyndon,Greenwich,London,13,161,8.0700,
E00008308,Peninsula,Greenwich,London,29,231,12.5500,
E00008389,Shooters Hill,Greenwich,London,5,115,4.3500,
E00007895,Charlton,Greenwich,London,13,154,8.4400,
E00008185,Greenwich West,Greenwich,London,19,194,9.7900,
E00007878,Blackheath Westcombe,Greenwich,London,13,222,5.8600,
E00007848,Blackheath Westcombe,Greenwich,London,4,155,2.5800,
E00176549,Glyndon,Greenwich,London,8,100,8.0000,
E00008450,Woolwich Common,Greenwich,London,25,152,16.4500,
E00008187,Greenwich West,Greenwich,London,11,116,9.4800,
E00008510,Woolwich Riverside,Greenwich,London,11,119,9.2400,
E00008522,Woolwich Riverside,Greenwich,London,18,177,10.1700,
E00008839,Haggerston,Hackney,London,15,161,9.3200,
E00008832,Haggerston,Hackney,London,18,151,11.9200,
E00008903,Hoxton,Hackney,London,21,150,14.0000,
E00008860,Haggerston,Hackney,London,28,221,12.6700,
E00008736,De Beauvoir,Hackney,London,18,214,8.4100,
E00009178,Victoria,Hackney,London,13,187,6.9500,
E00176260,Haggerston,Hackney,London,7,145,4.8300,
E00176245,Hoxton,Hackney,London,7,138,5.0700,
E00008221,Kidbrooke with Hornfair,Greenwich,London,10,153,6.5400,
E00008494,Woolwich Riverside,Greenwich,London,12,129,9.3000,
E00008127,Glyndon,Greenwich,London,5,103,4.8500,
E00007858,Blackheath Westcombe,Greenwich,London,2,146,1.3700,
E00007927,Charlton,Greenwich,London,13,154,8.4400,
E00176538,Woolwich Riverside,Greenwich,London,6,89,6.7400,
E00008525,Woolwich Riverside,Greenwich,London,15,125,12.0000,
E00176589,Woolwich Riverside,Greenwich,London,3,79,3.8000,
E00008214,Kidbrooke with Hornfair,Greenwich,London,10,148,6.7600,
E00008295,Peninsula,Greenwich,London,8,202,3.9600,
E00008853,Haggerston,Hackney,London,12,89,13.4800,
E00176312,Haggerston,Hackney,London,4,142,2.8200,
E00008849,Haggerston,Hackney,London,12,118,10.1700,
E00008847,Haggerston,Hackney,London,9,101,8.9100,
E00176224,De Beauvoir,Hackney,London,15,88,17.0500,
E00009072,Queensbridge,Hackney,London,8,169,4.7300,
E00008885,Hoxton,Hackney,London,7,133,5.2600,
E00176537,Kidbrooke with Hornfair,Greenwich,London,4,112,3.5700,
E00176564,Glyndon,Greenwich,London,11,116,9.4800,
E00008472,Woolwich Common,Greenwich,London,11,152,7.2400,
E00008302,Peninsula,Greenwich,London,7,120,5.8300,
E00000030,Portsoken,City of London,London,10,140,7.1400,
E00166759,Cripplegate,City of London,London,2,159,1.2600,
E00000001,Aldersgate,City of London,London,2,102,1.9600,
E00000010,Cripplegate,City of London,London,3,59,5.0800,
E00166758,Aldersgate,City of London,London,1,200,0.5000,
E00000023,Cripplegate,City of London,London,5,98,5.1000,
E00000019,Cripplegate,City of London,London,2,96,2.0800,
E00166756,Aldersgate,City of London,London,1,150,0.6700,
E00000005,Aldersgate,City of London,London,9,241,3.7300,
E00000016,Cripplegate,City of London,London,5,198,2.5300,
E00000035,Tower,City of London,London,5,190,2.6300,
E00000031,Portsoken,City of London,London,8,59,13.5600,
E00000032,Portsoken,City of London,London,21,145,14.4800,
E00000017,Cripplegate,City of London,London,3,160,1.8800,
E00000022,Cripplegate,City of London,London,4,129,3.1000,
E00166757,Walbrook,City of London,London,9,266,3.3800,
E00000029,Portsoken,City of London,London,18,132,13.6400,
E00000026,Farringdon Without,City of London,London,15,232,6.4700,
E00000027,Farringdon Without,City of London,London,11,281,3.9100,
E00000028,Farringdon Without,City of London,London,1,97,1.0300,
E00166755,Lime Street,City of London,London,22,177,12.4300,
E00000020,Cripplegate,City of London,London,2,143,1.4000,
E00000007,Cheap,City of London,London,6,86,6.9800,
E00000018,Cripplegate,City of London,London,0,131,0.0000,
E00000025,Farringdon Without,City of London,London,18,242,7.4400,
E00000024,Farringdon Within,City of London,London,8,186,4.3000,
E00000013,Cripplegate,City of London,London,3,108,2.7800,
E00000003,Aldersgate,City of London,London,3,147,2.0400,
E00000012,Cripplegate,City of London,London,8,115,6.9600,
E00000021,Bassishaw,City of London,London,6,182,3.3000,
E00000014,Cripplegate,City of London,London,3,96,3.1300,
E00007928,Charlton,Greenwich,London,13,144,9.0300,
E00008136,Glyndon,Greenwich,London,20,249,8.0300,
E00008386,Shooters Hill,Greenwich,London,2,96,2.0800,
E00008447,Woolwich Common,Greenwich,London,9,227,3.9600,
E00008168,Greenwich West,Greenwich,London,4,46,8.7000,
E00008139,Glyndon,Greenwich,London,6,136,4.4100,
E00176520,Kidbrooke with Hornfair,Greenwich,London,9,197,4.5700,
E00007872,Blackheath Westcombe,Greenwich,London,5,168,2.9800,
E00008401,Shooters Hill,Greenwich,London,9,172,5.2300,
E00008480,Woolwich Common,Greenwich,London,12,137,8.7600,
E00008307,Peninsula,Greenwich,London,24,172,13.9500,
E00008377,Shooters Hill,Greenwich,London,7,153,4.5800,
E00008182,Greenwich West,Greenwich,London,1,168,0.6000,
E00176534,Glyndon,Greenwich,London,11,146,7.5300,
E00008314,Peninsula,Greenwich,London,16,161,9.9400,
E00008103,Glyndon,Greenwich,London,17,115,14.7800,
E00008395,Shooters Hill,Greenwich,London,7,161,4.3500,
E00176590,Greenwich West,Greenwich,London,6,96,6.2500,
E00008294,Peninsula,Greenwich,London,12,193,6.2200,
E00008215,Kidbrooke with Hornfair,Greenwich,London,18,166,10.8400,
E00008451,Woolwich Common,Greenwich,London,10,96,10.4200,
E00008535,Woolwich Riverside,Greenwich,London,4,120,3.3300,
E00008124,Glyndon,Greenwich,London,12,132,9.0900,
E00008180,Greenwich West,Greenwich,London,5,143,3.5000,
E00008200,Kidbrooke with Hornfair,Greenwich,London,9,135,6.6700,
E00007841,Blackheath Westcombe,Greenwich,London,4,81,4.9400,
E00008479,Woolwich Common,Greenwich,London,19,188,10.1100,
E00007914,Charlton,Greenwich,London,7,170,4.1200,
E00008310,Peninsula,Greenwich,London,16,109,14.6800,
E00008195,Kidbrooke with Hornfair,Greenwich,London,17,183,9.2900,
E00007904,Charlton,Greenwich,London,13,172,7.5600,
E00008481,Woolwich Common,Greenwich,London,2,82,2.4400,
E00008488,Woolwich Common,Greenwich,London,2,66,3.0300,
E00008473,Woolwich Common,Greenwich,London,8,149,5.3700,
E00008306,Peninsula,Greenwich,London,19,135,14.0700,
E00176539,Woolwich Riverside,Greenwich,London,13,422,3.0800,
E00008156,Greenwich West,Greenwich,London,13,108,12.0400,
E00008517,Woolwich Riverside,Greenwich,London,19,89,21.3500,
E00176511,Woolwich Riverside,Greenwich,London,12,190,6.3200,
E00008399,Shooters Hill,Greenwich,London,10,188,5.3200,
E00008171,Greenwich West,Greenwich,London,4,183,2.1900,
E00008387,Shooters Hill,Greenwich,London,8,117,6.8400,
E00007881,Blackheath Westcombe,Greenwich,London,9,208,4.3300,
E00008175,Greenwich West,Greenwich,London,5,118,4.2400,
E00007854,Blackheath Westcombe,Greenwich,London,3,118,2.5400,
E00176488,Greenwich West,Greenwich,London,10,122,8.2000,
E00008400,Shooters Hill,Greenwich,London,9,156,5.7700,
E00007911,Charlton,Greenwich,London,8,109,7.3400,
E00007924,Charlton,Greenwich,London,8,155,5.1600,
E00007910,Charlton,Greenwich,London,4,199,2.0100,
E00008496,Woolwich Riverside,Greenwich,London,10,116,8.6200,
E00008495,Woolwich Riverside,Greenwich,London,3,126,2.3800,
E00008467,Woolwich Common,Greenwich,London,11,105,10.4800,
E00008219,Kidbrooke with Hornfair,Greenwich,London,8,176,4.5500,
E00008298,Peninsula,Greenwich,London,6,176,3.4100,
E00008278,Peninsula,Greenwich,London,3,161,1.8600,
E00008532,Woolwich Riverside,Greenwich,London,10,126,7.9400,
E00008123,Glyndon,Greenwich,London,8,162,4.9400,
E00008468,Woolwich Common,Greenwich,London,10,72,13.8900,
E00176567,Thamesmead Moorings,Greenwich,London,22,131,16.7900,
E00176501,Woolwich Riverside,Greenwich,London,6,88,6.8200,
E00008172,Greenwich West,Greenwich,London,9,213,4.2300,
E00007899,Charlton,Greenwich,London,6,123,4.8800,
E00008159,Greenwich West,Greenwich,London,2,133,1.5000,
E00008463,Woolwich Common,Greenwich,London,7,111,6.3100,
E00008141,Glyndon,Greenwich,London,15,174,8.6200,
E00008371,Shooters Hill,Greenwich,London,9,132,6.8200,
E00008448,Woolwich Common,Greenwich,London,13,188,6.9100,
E00007850,Blackheath Westcombe,Greenwich,London,0,121,0.0000,
E00176499,Greenwich West,Greenwich,London,9,182,4.9500,
E00008125,Glyndon,Greenwich,London,7,116,6.0300,
E00008465,Woolwich Common,Greenwich,London,12,179,6.7000,
E00008455,Woolwich Common,Greenwich,London,21,125,16.8000,
E00008521,Woolwich Riverside,Greenwich,London,10,146,6.8500,
E00008222,Kidbrooke with Hornfair,Greenwich,London,2,72,2.7800,
E00007843,Blackheath Westcombe,Greenwich,London,8,189,4.2300,
E00007906,Charlton,Greenwich,London,20,149,13.4200,
E00008526,Woolwich Riverside,Greenwich,London,15,117,12.8200,
E00176516,Peninsula,Greenwich,London,3,258,1.1600,
