OA Code,Ward Name,LA Name,Region Name,QS606EW0086,QS606EW0001 (base),OA Percentage
E00008212,Kidbrooke with Hornfair,Greenwich,London,20,136,14.7100,
E00008207,Kidbrooke with Hornfair,Greenwich,London,12,123,9.7600,
E00176580,Blackheath Westcombe,Greenwich,London,6,147,4.0800,
E00008286,Peninsula,Greenwich,London,8,119,6.7200,
E00176506,Peninsula,Greenwich,London,19,132,14.3900,
E00176544,Woolwich Riverside,Greenwich,London,14,235,5.9600,
E00007976,Eltham North,Greenwich,London,12,110,10.9100,
E00007923,Charlton,Greenwich,London,16,126,12.7000,
E00008493,Woolwich Riverside,Greenwich,London,17,103,16.5000,
E00008529,Woolwich Riverside,Greenwich,London,14,116,12.0700,
E00007853,Blackheath Westcombe,Greenwich,London,19,161,11.8000,
E00176553,Peninsula,Greenwich,London,7,154,4.5500,
E00008184,Greenwich West,Greenwich,London,8,161,4.9700,
E00008130,Glyndon,Greenwich,London,19,154,12.3400,
E00008492,Woolwich Riverside,Greenwich,London,14,93,15.0500,
E00008427,Thamesmead Moorings,Greenwich,London,9,95,9.4700,
E00007869,Blackheath Westcombe,Greenwich,London,5,111,4.5000,
E00008486,Woolwich Common,Greenwich,London,17,156,10.9000,
E00176568,Woolwich Riverside,Greenwich,London,31,264,11.7400,
E00008894,Hoxton,Hackney,London,12,127,9.4500,
E00008905,Hoxton,Hackney,London,18,232,7.7600,
E00008866,Hoxton,Hackney,London,14,134,10.4500,
E00176255,Haggerston,Hackney,London,1,92,1.0900,
E00007884,Blackheath Westcombe,Greenwich,London,4,195,2.0500,
E00008198,Kidbrooke with Hornfair,Greenwich,London,8,108,7.4100,
E00176500,Greenwich West,Greenwich,London,0,145,0.0000,
E00008498,Woolwich Riverside,Greenwich,London,17,156,10.9000,
E00176521,Woolwich Riverside,Greenwich,London,33,446,7.4000,
E00176490,Greenwich West,Greenwich,London,14,256,5.4700,
E00176504,Peninsula,Greenwich,London,3,171,1.7500,
E00176572,Glyndon,Greenwich,London,17,145,11.7200,
E00008158,Greenwich West,Greenwich,London,28,137,20.4400,
E00007875,Blackheath Westcombe,Greenwich,London,6,133,4.5100,
E00007877,Blackheath Westcombe,Greenwich,London,9,112,8.0400,
E00007922,Charlton,Greenwich,London,4,132,3.0300,
E00008189,Greenwich West,Greenwich,London,18,115,15.6500,
E00007912,Charlton,Greenwich,London,8,152,5.2600,
E00007993,Eltham North,Greenwich,London,16,205,7.8000,
E00176485,Kidbrooke with Hornfair,Greenwich,London,10,103,9.7100,
E00008208,Kidbrooke with Hornfair,Greenwich,London,17,193,8.8100,
E00007889,Charlton,Greenwich,London,17,159,10.6900,
E00008519,Woolwich Riverside,Greenwich,London,20,106,18.8700,
E00008534,Woolwich Riverside,Greenwich,London,11,154,7.1400,
E00008231,Kidbrooke with Hornfair,Greenwich,London,17,155,10.9700,
E00007918,Charlton,Greenwich,London,23,130,17.6900,
E00007999,Eltham North,Greenwich,London,24,172,13.9500,
E00008469,Woolwich Common,Greenwich,London,23,161,14.2900,
E00008458,Woolwich Common,Greenwich,London,8,137,5.8400,
E00007849,Blackheath Westcombe,Greenwich,London,12,128,9.3800,
E00008508,Woolwich Riverside,Greenwich,London,16,132,12.1200,
E00176595,Peninsula,Greenwich,London,13,148,8.7800,
E00007908,Charlton,Greenwich,London,9,206,4.3700,
E00008477,Woolwich Common,Greenwich,London,30,150,20.0000,
E00176551,Greenwich West,Greenwich,London,19,117,16.2400,
E00008192,Kidbrooke with Hornfair,Greenwich,London,9,169,5.3300,
E00008113,Glyndon,Greenwich,London,36,206,17.4800,
E00176561,Woolwich Common,Greenwich,London,23,207,11.1100,
E00008305,Peninsula,Greenwich,London,3,191,1.5700,
E00008384,Shooters Hill,Greenwich,London,6,137,4.3800,
E00008133,Glyndon,Greenwich,London,34,278,12.2300,
E00007897,Charlton,Greenwich,London,14,114,12.2800,
E00008205,Kidbrooke with Hornfair,Greenwich,London,15,126,11.9000,
E00008284,Peninsula,Greenwich,London,8,146,5.4800,
E00008491,Woolwich Riverside,Greenwich,London,18,108,16.6700,
E00176487,Kidbrooke with Hornfair,Greenwich,London,9,102,8.8200,
E00008299,Peninsula,Greenwich,London,6,233,2.5800,
E00007866,Blackheath Westcombe,Greenwich,London,5,181,2.7600,
E00008362,Shooters Hill,Greenwich,London,11,144,7.6400,
E00008489,Woolwich Common,Greenwich,London,15,150,10.0000,
E00008313,Peninsula,Greenwich,London,14,205,6.8300,
E00007900,Charlton,Greenwich,London,17,188,9.0400,
E00008874,Hoxton,Hackney,London,16,284,5.6300,
E00176278,Haggerston,Hackney,London,3,240,1.2500,
E00008871,Hoxton,Hackney,London,14,204,6.8600,
E00008869,Hoxton,Hackney,London,12,141,8.5100,
E00008861,Haggerston,Hackney,London,21,235,8.9400,
E00008899,Hoxton,Hackney,London,10,94,10.6400,
E00176261,Haggerston,Hackney,London,9,183,4.9200,
E00008901,Hoxton,Hackney,London,9,106,8.4900,
E00008888,Hoxton,Hackney,London,12,197,6.0900,
E00008868,Hoxton,Hackney,London,4,155,2.5800,
E00176244,Hoxton,Hackney,London,4,153,2.6100,
E00008745,De Beauvoir,Hackney,London,13,277,4.6900,
E00008851,Haggerston,Hackney,London,14,110,12.7300,
E00008879,Hoxton,Hackney,London,9,289,3.1100,
E00008858,Haggerston,Hackney,London,12,124,9.6800,
E00008877,Hoxton,Hackney,London,12,141,8.5100,
E00008852,Haggerston,Hackney,London,12,242,4.9600,
E00176276,Haggerston,Hackney,London,4,196,2.0400,
E00176281,Hoxton,Hackney,London,12,119,10.0800,
E00008748,De Beauvoir,Hackney,London,13,120,10.8300,
E00176282,Hoxton,Hackney,London,12,203,5.9100,
E00176263,Hoxton,Hackney,London,1,104,0.9600,
E00008887,Hoxton,Hackney,London,10,116,8.6200,
E00007852,Blackheath Westcombe,Greenwich,London,3,121,2.4800,
E00008476,Woolwich Common,Greenwich,London,15,154,9.7400,
E00176562,Woolwich Riverside,Greenwich,London,18,130,13.8500,
E00176554,Peninsula,Greenwich,London,10,160,6.2500,
E00176497,Greenwich West,Greenwich,London,7,109,6.4200,
E00176535,Greenwich West,Greenwich,London,3,173,1.7300,
E00008181,Greenwich West,Greenwich,London,3,159,1.8900,
E00007870,Blackheath Westcombe,Greenwich,London,7,129,5.4300,
E00176498,Greenwich West,Greenwich,London,18,140,12.8600,
E00008132,Glyndon,Greenwich,London,16,224,7.1400,
E00008464,Woolwich Common,Greenwich,London,20,182,10.9900,
E00008109,Glyndon,Greenwich,London,24,118,20.3400,
E00008188,Greenwich West,Greenwich,London,13,136,9.5600,
E00008121,Glyndon,Greenwich,London,30,159,18.8700,
E00008145,Glyndon,Greenwich,London,19,123,15.4500,
E00008135,Glyndon,Greenwich,London,18,161,11.1800,
E00008308,Peninsula,Greenwich,London,16,231,6.9300,
E00008389,Shooters Hill,Greenwich,London,9,115,7.8300,
E00007895,Charlton,Greenwich,London,15,154,9.7400,
E00008185,Greenwich West,Greenwich,London,12,194,6.1900,
E00007878,Blackheath Westcombe,Greenwich,London,6,222,2.7000,
E00007848,Blackheath Westcombe,Greenwich,London,7,155,4.5200,
E00176549,Glyndon,Greenwich,London,8,100,8.0000,
E00008104,Glyndon,Greenwich,London,24,209,11.4800,
E00008450,Woolwich Common,Greenwich,London,23,152,15.1300,
E00008187,Greenwich West,Greenwich,London,12,116,10.3400,
E00008510,Woolwich Riverside,Greenwich,London,18,119,15.1300,
E00008522,Woolwich Riverside,Greenwich,London,23,177,12.9900,
E00008903,Hoxton,Hackney,London,11,150,7.3300,
E00008860,Haggerston,Hackney,London,14,221,6.3300,
E00176260,Haggerston,Hackney,London,2,145,1.3800,
E00176245,Hoxton,Hackney,London,2,138,1.4500,
E00008221,Kidbrooke with Hornfair,Greenwich,London,17,153,11.1100,
E00008494,Woolwich Riverside,Greenwich,London,11,129,8.5300,
E00008127,Glyndon,Greenwich,London,14,103,13.5900,
E00007858,Blackheath Westcombe,Greenwich,London,9,146,6.1600,
E00007927,Charlton,Greenwich,London,16,154,10.3900,
E00008259,Middle Park and Sutcliffe,Greenwich,London,1,108,0.9300,
E00176538,Woolwich Riverside,Greenwich,London,12,89,13.4800,
E00008525,Woolwich Riverside,Greenwich,London,16,125,12.8000,
E00176589,Woolwich Riverside,Greenwich,London,18,79,22.7800,
E00008214,Kidbrooke with Hornfair,Greenwich,London,16,148,10.8100,
E00008295,Peninsula,Greenwich,London,5,202,2.4800,
E00007847,Blackheath Westcombe,Greenwich,London,2,121,1.6500,
E00008853,Haggerston,Hackney,London,13,89,14.6100,
E00176312,Haggerston,Hackney,London,1,142,0.7000,
E00008849,Haggerston,Hackney,London,11,118,9.3200,
E00008885,Hoxton,Hackney,London,10,133,7.5200,
E00176537,Kidbrooke with Hornfair,Greenwich,London,9,112,8.0400,
E00176564,Glyndon,Greenwich,London,16,116,13.7900,
E00008472,Woolwich Common,Greenwich,London,32,152,21.0500,
E00008302,Peninsula,Greenwich,London,12,120,10.0000,
E00000030,Portsoken,City of London,London,7,140,5.0000,
E00166759,Cripplegate,City of London,London,3,159,1.8900,
E00000001,Aldersgate,City of London,London,2,102,1.9600,
E00000010,Cripplegate,City of London,London,5,59,8.4700,
E00166758,Aldersgate,City of London,London,2,200,1.0000,
E00000023,Cripplegate,City of London,London,8,98,8.1600,
E00000019,Cripplegate,City of London,London,2,96,2.0800,
E00166756,Aldersgate,City of London,London,1,150,0.6700,
E00000005,Aldersgate,City of London,London,9,241,3.7300,
E00000016,Cripplegate,City of London,London,1,198,0.5100,
E00000035,Tower,City of London,London,5,190,2.6300,
E00000031,Portsoken,City of London,London,7,59,11.8600,
E00000032,Portsoken,City of London,London,15,145,10.3400,
E00000017,Cripplegate,City of London,London,2,160,1.2500,
E00000022,Cripplegate,City of London,London,8,129,6.2000,
E00166757,Walbrook,City of London,London,5,266,1.8800,
E00000029,Portsoken,City of London,London,4,132,3.0300,
E00000026,Farringdon Without,City of London,London,2,232,0.8600,
E00000027,Farringdon Without,City of London,London,3,281,1.0700,
E00000028,Farringdon Without,City of London,London,1,97,1.0300,
E00166755,Lime Street,City of London,London,9,177,5.0800,
E00000020,Cripplegate,City of London,London,1,143,0.7000,
E00000007,Cheap,City of London,London,2,86,2.3300,
E00000018,Cripplegate,City of London,London,1,131,0.7600,
E00000025,Farringdon Without,City of London,London,1,242,0.4100,
E00000024,Farringdon Within,City of London,London,8,186,4.3000,
E00000013,Cripplegate,City of London,London,5,108,4.6300,
E00000003,Aldersgate,City of London,London,1,147,0.6800,
E00000012,Cripplegate,City of London,London,6,115,5.2200,
E00000021,Bassishaw,City of London,London,1,182,0.5500,
E00000014,Cripplegate,City of London,London,1,96,1.0400,
E00007928,Charlton,Greenwich,London,19,144,13.1900,
E00008136,Glyndon,Greenwich,London,34,249,13.6500,
E00008386,Shooters Hill,Greenwich,London,11,96,11.4600,
E00008447,Woolwich Common,Greenwich,London,15,227,6.6100,
E00008168,Greenwich West,Greenwich,London,3,46,6.5200,
E00008139,Glyndon,Greenwich,London,19,136,13.9700,
E00176520,Kidbrooke with Hornfair,Greenwich,London,12,197,6.0900,
E00007872,Blackheath Westcombe,Greenwich,London,9,168,5.3600,
E00008401,Shooters Hill,Greenwich,London,12,172,6.9800,
E00008480,Woolwich Common,Greenwich,London,24,137,17.5200,
E00008307,Peninsula,Greenwich,London,17,172,9.8800,
E00008377,Shooters Hill,Greenwich,London,11,153,7.1900,
E00008182,Greenwich West,Greenwich,London,4,168,2.3800,
E00176534,Glyndon,Greenwich,London,30,146,20.5500,
E00008314,Peninsula,Greenwich,London,12,161,7.4500,
E00008103,Glyndon,Greenwich,London,20,115,17.3900,
E00008395,Shooters Hill,Greenwich,London,18,161,11.1800,
E00176590,Greenwich West,Greenwich,London,1,96,1.0400,
E00008294,Peninsula,Greenwich,London,8,193,4.1500,
E00008215,Kidbrooke with Hornfair,Greenwich,London,19,166,11.4500,
E00008451,Woolwich Common,Greenwich,London,18,96,18.7500,
E00008535,Woolwich Riverside,Greenwich,London,11,120,9.1700,
E00008124,Glyndon,Greenwich,London,18,132,13.6400,
E00008180,Greenwich West,Greenwich,London,4,143,2.8000,
E00008200,Kidbrooke with Hornfair,Greenwich,London,13,135,9.6300,
E00007841,Blackheath Westcombe,Greenwich,London,6,81,7.4100,
E00008479,Woolwich Common,Greenwich,London,36,188,19.1500,
E00007914,Charlton,Greenwich,London,6,170,3.5300,
E00007995,Eltham North,Greenwich,London,19,205,9.2700,
E00008114,Glyndon,Greenwich,London,18,172,10.4700,
E00008310,Peninsula,Greenwich,London,13,109,11.9300,
E00008391,Shooters Hill,Greenwich,London,21,137,15.3300,
E00008195,Kidbrooke with Hornfair,Greenwich,London,16,183,8.7400,
E00007904,Charlton,Greenwich,London,17,172,9.8800,
E00008481,Woolwich Common,Greenwich,London,17,82,20.7300,
E00008488,Woolwich Common,Greenwich,London,13,66,19.7000,
E00176565,Thamesmead Moorings,Greenwich,London,16,121,13.2200,
E00008473,Woolwich Common,Greenwich,London,22,149,14.7700,
E00008306,Peninsula,Greenwich,London,5,135,3.7000,
E00176539,Woolwich Riverside,Greenwich,London,11,422,2.6100,
E00008156,Greenwich West,Greenwich,London,11,108,10.1900,
E00008517,Woolwich Riverside,Greenwich,London,13,89,14.6100,
E00176511,Woolwich Riverside,Greenwich,London,0,190,0.0000,
E00008399,Shooters Hill,Greenwich,London,7,188,3.7200,
E00008171,Greenwich West,Greenwich,London,3,183,1.6400,
E00007881,Blackheath Westcombe,Greenwich,London,6,208,2.8800,
E00008175,Greenwich West,Greenwich,London,4,118,3.3900,
E00007854,Blackheath Westcombe,Greenwich,London,2,118,1.6900,
E00176488,Greenwich West,Greenwich,London,5,122,4.1000,
E00008400,Shooters Hill,Greenwich,London,16,156,10.2600,
E00007911,Charlton,Greenwich,London,9,109,8.2600,
E00008387,Shooters Hill,Greenwich,London,12,117,10.2600,
E00007910,Charlton,Greenwich,London,8,199,4.0200,
E00008496,Woolwich Riverside,Greenwich,London,20,116,17.2400,
E00007924,Charlton,Greenwich,London,15,155,9.6800,
E00008467,Woolwich Common,Greenwich,London,18,105,17.1400,
E00008219,Kidbrooke with Hornfair,Greenwich,London,13,176,7.3900,
