OA Code,Ward Name,LA Name,Region Name,QS606EW0096,QS606EW0001 (base),OA Percentage
E00008529,Woolwich Riverside,Greenwich,London,8,116,6.9000,
E00007853,Blackheath Westcombe,Greenwich,London,9,161,5.5900,
E00176553,Peninsula,Greenwich,London,8,154,5.1900,
E00008184,Greenwich West,Greenwich,London,5,161,3.1100,
E00008130,Glyndon,Greenwich,London,8,154,5.1900,
E00008492,Woolwich Riverside,Greenwich,London,11,93,11.8300,
E00007869,Blackheath Westcombe,Greenwich,London,9,111,8.1100,
E00176568,Woolwich Riverside,Greenwich,London,29,264,10.9800,
E00008894,Hoxton,Hackney,London,11,127,8.6600,
E00008905,Hoxton,Hackney,London,11,232,4.7400,
E00008866,Hoxton,Hackney,London,18,134,13.4300,
E00176255,Haggerston,Hackney,London,1,92,1.0900,
E00007884,Blackheath Westcombe,Greenwich,London,9,195,4.6200,
E00008198,Kidbrooke with Hornfair,Greenwich,London,10,108,9.2600,
E00176500,Greenwich West,Greenwich,London,2,145,1.3800,
E00008498,Woolwich Riverside,Greenwich,London,10,156,6.4100,
E00176521,Woolwich Riverside,Greenwich,London,34,446,7.6200,
E00176490,Greenwich West,Greenwich,London,34,256,13.2800,
E00176504,Peninsula,Greenwich,London,3,171,1.7500,
E00008158,Greenwich West,Greenwich,London,12,137,8.7600,
E00007875,Blackheath Westcombe,Greenwich,London,6,133,4.5100,
E00007877,Blackheath Westcombe,Greenwich,London,5,112,4.4600,
E00007922,Charlton,Greenwich,London,5,132,3.7900,
E00008189,Greenwich West,Greenwich,London,4,115,3.4800,
E00007912,Charlton,Greenwich,London,5,152,3.2900,
E00007993,Eltham North,Greenwich,London,10,205,4.8800,
E00176485,Kidbrooke with Hornfair,Greenwich,London,5,103,4.8500,
E00008208,Kidbrooke with Hornfair,Greenwich,London,15,193,7.7700,
E00007889,Charlton,Greenwich,London,8,159,5.0300,
E00008519,Woolwich Riverside,Greenwich,London,11,106,10.3800,
E00008534,Woolwich Riverside,Greenwich,London,3,154,1.9500,
E00008231,Kidbrooke with Hornfair,Greenwich,London,10,155,6.4500,
E00007918,Charlton,Greenwich,London,15,130,11.5400,
E00007999,Eltham North,Greenwich,London,6,172,3.4900,
E00008469,Woolwich Common,Greenwich,London,16,161,9.9400,
E00008458,Woolwich Common,Greenwich,London,16,137,11.6800,
E00007849,Blackheath Westcombe,Greenwich,London,5,128,3.9100,
E00008508,Woolwich Riverside,Greenwich,London,17,132,12.8800,
E00176595,Peninsula,Greenwich,London,7,148,4.7300,
E00007908,Charlton,Greenwich,London,8,206,3.8800,
E00008477,Woolwich Common,Greenwich,London,22,150,14.6700,
E00176551,Greenwich West,Greenwich,London,5,117,4.2700,
E00008192,Kidbrooke with Hornfair,Greenwich,London,8,169,4.7300,
E00176561,Woolwich Common,Greenwich,London,28,207,13.5300,
E00008305,Peninsula,Greenwich,London,5,191,2.6200,
E00008384,Shooters Hill,Greenwich,London,9,137,6.5700,
E00007897,Charlton,Greenwich,London,4,114,3.5100,
E00008205,Kidbrooke with Hornfair,Greenwich,London,12,126,9.5200,
E00008284,Peninsula,Greenwich,London,13,146,8.9000,
E00008491,Woolwich Riverside,Greenwich,London,8,108,7.4100,
E00176487,Kidbrooke with Hornfair,Greenwich,London,9,102,8.8200,
E00008299,Peninsula,Greenwich,London,11,233,4.7200,
E00007866,Blackheath Westcombe,Greenwich,London,5,181,2.7600,
E00008362,Shooters Hill,Greenwich,London,9,144,6.2500,
E00008489,Woolwich Common,Greenwich,London,15,150,10.0000,
E00008313,Peninsula,Greenwich,London,23,205,11.2200,
E00007900,Charlton,Greenwich,London,20,188,10.6400,
